student_id,module_id,past_module_id,grades_past,failed_module_id,grades_failed
S0235,P037_01,P019_02,58,,
S0236,P037_02,P024_04,98,,
S0237,P037_03,P022_01,73,,
S0238,P037_04,P019_04,87,,
S0239,P037_05,P003_04,59,,
S0240,P038_01,P010_04,93,,
S0241,P038_02,P006_04,65,,
S0242,P038_03,P003_04,64,,
S0243,P038_04,P022_02,66,,
S0244,P038_05,P017_04,81,,
S0245,P038_06,P027_07,85,,
S0246,P038_07,P047_08,97,,
S0247,P038_08,P012_06,76,,
S0248,P039_01,P036_05,46,,
S0249,P039_02,P047_01,91,,
S0250,P039_03,P041_01,41,P007_05,29
S0251,P039_04,P030_02,100,,
S0252,P039_05,P043_04,60,,
S0253,P039_06,P026_01,50,,
S0254,P040_01,P025_05,94,,
S0255,P040_02,P021_02,71,,
S0256,P040_03,P004_01,91,,
S0257,P040_04,P031_04,54,,
S0258,P040_05,P009_06,77,,
S0259,P040_06,P027_01,51,,
S0260,P041_01,P018_01,72,,
S0261,P041_02,P028_07,64,,
S0262,P041_03,P040_03,84,,
S0263,P041_04,P012_07,60,,
S0264,P041_05,P022_02,57,,
S0265,P041_06,P018_03,86,,
S0266,P041_07,P040_06,67,,
S0267,P041_08,P003_05,88,,
S0268,P042_01,P020_02,78,,
S0269,P042_02,P013_04,80,,
S0270,P042_03,P033_03,76,,
S0271,P042_04,P028_02,51,,
S0272,P042_05,P004_03,100,,
S0273,P042_06,P027_08,73,,
S0274,P043_01,P011_03,48,,
S0275,P043_02,P015_06,52,,
S0276,P043_03,P046_03,79,,
S0277,P043_04,P033_02,77,,
S0278,P043_05,P011_05,62,,
S0279,P043_06,P033_06,69,,
S0280,P043_07,P025_02,54,,
S0281,P043_08,P028_03,44,,
S0282,P044_01,P003_02,65,,
S0283,P044_02,P023_04,75,,
S0284,P044_03,P017_04,79,,
S0285,P044_04,P001_01,77,,
S0286,P044_05,P013_03,53,,
S0287,P044_06,P031_01,94,,
S0288,P044_07,P049_04,85,,
S0289,P044_08,P036_07,49,,
S0290,P045_01,P049_05,94,,
S0291,P045_02,P014_06,57,,
S0292,P045_03,P005_06,86,,
S0293,P045_04,P014_06,58,,
S0294,P045_05,P038_06,96,,
S0295,P046_01,P013_03,59,,
S0296,P046_02,P010_05,70,,
S0297,P046_03,P028_01,90,,
S0298,P046_04,P048_02,46,,
S0299,P046_05,P044_04,93,,
S0300,P046_06,P001_03,57,,
S0301,P046_07,P040_04,47,,
S0302,P047_01,P033_03,93,,
S0303,P047_02,P033_03,72,,
S0304,P047_03,P017_02,52,,
S0305,P047_04,P022_05,81,,
S0306,P047_05,P033_04,60,,
S0307,P047_06,P003_02,42,P006_03,23
S0308,P047_07,P033_06,99,,
S0309,P047_08,P045_05,69,,
S0310,P048_01,P028_02,55,,
S0311,P048_02,P033_07,74,,
S0312,P048_03,P048_06,66,,
S0313,P048_04,P034_04,49,,
S0314,P048_05,P044_04,88,,
S0315,P048_06,P048_04,59,,
S0316,P048_07,P001_02,69,,
S0317,P049_01,P007_01,89,,
S0318,P049_02,P036_06,55,,
S0319,P049_03,P032_07,85,,
S0320,P049_04,P035_04,55,,
S0321,P049_05,P003_05,72,,
S0322,P050_01,P011_07,63,,
S0323,P050_02,P030_04,85,,
S0324,P050_03,P043_08,47,,
S0325,P050_04,P016_06,72,,
S0326,P050_05,P003_02,76,,
S0327,P050_06,P029_03,43,,
S0328,P050_07,P040_03,50,,
S0329,P001_01,P037_03,42,P041_05,10
S0330,P001_02,P040_06,84,,
S0331,P001_03,P008_01,56,,
S0332,P001_04,P048_07,88,,
S0333,P001_05,P038_07,51,,
S0334,P002_01,P025_06,41,P041_04,27
S0335,P002_02,P038_07,100,,
S0336,P002_03,P037_02,56,,
S0337,P002_04,P018_07,66,,
S0338,P002_05,P008_05,73,,
S0339,P003_01,P021_05,70,,
S0340,P003_02,P033_03,88,,
S0341,P003_03,P037_01,62,,
S0342,P003_04,P010_07,53,,
S0343,P003_05,P015_02,97,,
S0344,P004_01,P030_03,48,,
S0345,P004_02,P034_03,43,,
S0346,P004_03,P015_02,44,,
S0347,P004_04,P049_06,47,,
S0348,P004_05,P031_02,47,,
S0349,P004_06,P031_03,86,,
S0350,P004_07,P029_05,100,,
S0351,P005_01,P046_07,53,,
S0352,P005_02,P024_07,93,,
S0353,P005_03,P031_05,82,,
S0354,P005_04,P038_02,94,,
S0355,P005_05,P036_06,42,P005_03,16
S0356,P005_06,P011_04,50,,
S0357,P005_07,P048_02,48,,
S0358,P006_01,P014_01,90,,
S0359,P006_02,P042_01,40,P007_01,33
S0360,P006_03,P022_05,76,,
S0361,P006_04,P027_03,100,,
S0362,P006_05,P025_04,56,,
S0363,P006_06,P042_03,74,,
S0364,P006_07,P046_05,81,,
S0365,P006_08,P012_03,72,,
S0366,P007_01,P023_03,55,,
S0367,P007_02,P015_01,62,,
S0368,P007_03,P007_03,73,,
S0369,P007_04,P023_02,71,,
S0370,P007_05,P018_02,84,,
S0371,P008_01,P048_02,69,,
S0372,P008_02,P047_04,59,,
S0373,P008_03,P028_07,57,,
S0374,P008_04,P043_02,45,,
S0375,P008_05,P010_02,55,,
S0376,P008_06,P017_03,64,,
S0377,P009_01,P039_02,85,,
S0378,P009_02,P036_02,96,,
S0379,P009_03,P010_05,58,,
S0380,P009_04,P026_02,57,,
S0381,P009_05,P021_06,71,,
S0382,P009_06,P002_01,95,,
S0383,P009_07,P041_06,81,,
S0384,P010_01,P043_05,42,P038_01,16
S0385,P010_02,P029_07,57,,
S0386,P010_03,P034_01,47,,
S0387,P010_04,P035_01,59,,
S0388,P010_05,P026_03,46,,
S0389,P010_06,P015_05,80,,
S0390,P010_07,P036_02,72,,
S0391,P010_08,P012_02,40,P004_03,14
S0392,P011_01,P016_04,63,,
S0393,P011_02,P004_02,56,,
S0394,P011_03,P048_05,84,,
S0395,P011_04,P025_01,71,,
S0396,P011_05,P036_01,47,,
S0397,P011_06,P006_07,69,,
S0398,P011_07,P041_03,97,,
S0399,P012_01,P044_08,76,,
S0400,P012_02,P010_04,44,,
S0401,P012_03,P011_06,51,,
S0402,P012_04,P022_03,94,,
S0403,P012_05,P002_02,94,,
S0404,P012_06,P023_04,58,,
S0405,P012_07,P026_04,74,,
S0406,P013_01,P044_05,61,,
S0407,P013_02,P025_02,89,,
S0408,P013_03,P034_01,46,,
S0409,P013_04,P048_06,94,,
S0410,P013_05,P018_05,61,,
S0411,P013_06,P038_01,95,,
S0412,P013_07,P019_05,88,,
S0413,P014_01,P001_05,96,,
S0414,P014_02,P044_02,53,,
S0415,P014_03,P015_01,82,,
S0416,P014_04,P022_05,93,,
S0417,P014_05,P025_03,44,,
S0418,P014_06,P002_01,93,,
S0419,P015_01,P024_07,42,P005_07,20
S0420,P015_02,P034_05,71,,
S0421,P015_03,P041_02,89,,
S0422,P015_04,P043_03,92,,
S0423,P015_05,P005_01,76,,
S0424,P015_06,P017_04,62,,
S0425,P016_01,P005_01,77,,
S0426,P016_02,P011_05,79,,
S0427,P016_03,P025_01,40,P040_03,22
S0428,P016_04,P002_05,53,,
S0429,P016_05,P004_05,70,,
S0430,P016_06,P011_07,59,,
S0431,P017_01,P011_02,97,,
S0432,P017_02,P019_04,69,,
S0433,P017_03,P040_06,58,,
S0434,P017_04,P015_01,69,,
S0435,P017_05,P045_02,82,,
S0436,P017_06,P030_01,89,,
S0437,P018_01,P019_05,49,,
S0438,P018_02,P033_07,56,,
S0439,P018_03,P040_06,63,,
S0440,P018_04,P001_01,56,,
S0441,P018_05,P036_01,90,,
S0442,P018_06,P030_01,59,,
S0443,P018_07,P030_03,45,,
S0444,P018_08,P026_04,69,,
S0445,P019_01,P042_04,43,,
S0446,P019_02,P018_04,41,P005_01,23
S0447,P019_03,P036_05,58,,
S0448,P019_04,P020_04,53,,
S0449,P019_05,P010_06,68,,
S0450,P020_01,P022_01,50,,
S0451,P020_02,P017_01,93,,
S0452,P020_03,P004_03,86,,
S0453,P020_04,P048_01,87,,
S0454,P020_05,P004_02,40,P039_05,31
S0455,P021_01,P038_04,95,,
S0456,P021_02,P047_01,57,,
S0457,P021_03,P010_03,70,,
S0458,P021_04,P012_03,59,,
S0459,P021_05,P029_06,93,,
S0460,P021_06,P023_02,41,P046_05,19
S0461,P022_01,P020_02,99,,
S0462,P022_02,P006_02,99,,
S0463,P022_03,P011_06,67,,
S0464,P022_04,P040_06,88,,
S0465,P022_05,P025_03,76,,
S0466,P022_06,P010_06,68,,
S0467,P022_07,P015_01,58,,
S0468,P022_08,P035_04,89,,
S0469,P023_01,P006_08,92,,
S0470,P023_02,P041_05,77,,
S0471,P023_03,P039_02,55,,
S0472,P023_04,P003_03,85,,
S0473,P023_05,P029_02,57,,
S0474,P023_06,P039_03,98,,
S0475,P024_01,P035_05,84,,
S0476,P024_02,P024_03,68,,
S0477,P024_03,P015_04,54,,
S0478,P024_04,P004_01,58,,
S0479,P024_05,P049_08,62,,
S0480,P024_06,P049_08,97,,
S0481,P024_07,P002_05,57,,
S0482,P025_01,P024_01,64,,
S0483,P025_02,P004_03,57,,
S0484,P025_03,P001_05,49,,
S0485,P025_04,P049_05,41,P045_04,28
S0486,P025_05,P037_03,60,,
S0487,P025_06,P017_01,45,,
S0488,P025_07,P014_01,84,,
S0489,P026_01,P003_01,69,,
S0490,P026_02,P023_01,51,,
S0491,P026_03,P046_03,43,,
S0492,P026_04,P040_01,50,,
S0493,P026_05,P006_08,89,,
S0494,P027_01,P043_06,64,,
S0495,P027_02,P047_04,52,,
S0496,P027_03,P044_03,43,,
S0497,P027_04,P001_05,91,,
S0498,P027_05,P032_05,43,,
S0499,P027_06,P039_04,90,,
S0500,P027_07,P011_02,73,,
S0501,P027_08,P043_02,61,,
S0502,P028_01,P006_02,63,,
S0503,P028_02,P008_01,92,,
S0504,P028_03,P048_07,90,,
S0505,P028_04,P042_05,57,,
S0506,P028_05,P006_05,52,,
S0507,P028_06,P034_04,69,,
S0508,P028_07,P039_01,68,,
S0509,P029_01,P010_05,84,,
S0510,P029_02,P042_05,79,,
S0511,P029_03,P004_05,67,,
S0512,P029_04,P023_04,74,,
S0513,P029_05,P016_02,63,,
S0514,P029_06,P009_01,54,,
S0515,P029_07,P030_05,96,,
S0516,P029_08,P031_02,92,,
S0517,P030_01,P018_02,56,,
S0518,P030_02,P010_01,45,,
S0519,P030_03,P040_04,59,,
S0520,P030_04,P034_04,84,,
S0521,P030_05,P025_06,51,,
S0522,P031_01,P029_03,51,,
S0523,P031_02,P030_05,98,,
S0524,P031_03,P028_04,95,,
S0525,P031_04,P015_02,42,P004_04,14
S0526,P031_05,P035_06,82,,
S0527,P031_06,P028_01,98,,
S0528,P032_01,P044_07,82,,
S0529,P032_02,P011_01,46,,
S0530,P032_03,P028_05,71,,
S0531,P032_04,P039_03,92,,
S0532,P032_05,P025_01,50,,
S0533,P032_06,P014_04,85,,
S0534,P032_07,P022_05,93,,
S0535,P033_01,P011_04,99,,
S0536,P033_02,P013_01,94,,
S0537,P033_03,P021_01,72,,
S0538,P033_04,P006_06,94,,
S0539,P033_05,P024_02,85,,
S0540,P033_06,P025_01,51,,
S0541,P033_07,P004_05,75,,
S0542,P033_08,P044_04,97,,
S0543,P034_01,P008_03,54,,
S0544,P034_02,P003_02,61,,
S0545,P034_03,P044_04,40,P006_05,21
S0546,P034_04,P021_06,73,,
S0547,P034_05,P001_01,80,,
S0548,P034_06,P004_04,79,,
S0549,P035_01,P028_07,88,,
S0550,P035_02,P029_02,66,,
S0551,P035_03,P018_01,60,,
S0552,P035_04,P039_04,70,,
S0553,P035_05,P032_07,85,,
S0554,P035_06,P021_03,72,,
S0555,P036_01,P036_01,90,,
S0556,P036_02,P019_03,99,,
S0557,P036_03,P013_06,81,,
S0558,P036_04,P017_06,97,,
S0559,P036_05,P012_06,45,,
S0560,P036_06,P033_01,44,,
S0561,P036_07,P037_05,66,,
S0562,P036_08,P009_05,52,,
S0563,P037_01,P034_05,65,,
S0564,P037_02,P046_05,90,,
S0565,P037_03,P032_03,66,,
S0566,P037_04,P025_05,77,,
S0567,P037_05,P010_04,94,,
S0568,P038_01,P015_01,47,,
S0569,P038_02,P037_04,44,,
S0570,P038_03,P012_03,68,,
S0571,P038_04,P021_03,98,,
S0572,P038_05,P020_01,62,,
S0573,P038_06,P036_07,41,P002_01,13
S0574,P038_07,P039_01,41,P049_05,20
S0575,P038_08,P021_03,58,,
S0576,P039_01,P034_05,76,,
S0577,P039_02,P017_02,95,,
S0578,P039_03,P042_01,58,,
S0579,P039_04,P010_08,89,,
S0580,P039_05,P012_05,90,,
S0581,P039_06,P034_01,83,,
S0582,P040_01,P018_08,56,,
S0583,P040_02,P018_05,47,,
S0584,P040_03,P004_02,61,,
S0585,P040_04,P026_04,89,,
S0586,P040_05,P006_01,92,,
S0587,P040_06,P026_03,63,,
S0588,P041_01,P002_05,54,,
S0589,P041_02,P004_03,61,,
S0590,P041_03,P016_06,49,,
S0591,P041_04,P044_02,50,,
S0592,P041_05,P046_04,58,,
S0593,P041_06,P031_03,61,,
S0594,P041_07,P036_01,41,P042_01,32
S0595,P041_08,P010_01,98,,
S0596,P042_01,P047_07,80,,
S0597,P042_02,P048_05,48,,
S0598,P042_03,P026_05,81,,
S0599,P042_04,P037_05,60,,
S0600,P042_05,P031_06,88,,
S0601,P042_06,P019_02,46,,
S0602,P043_01,P046_06,75,,
S0603,P043_02,P014_01,89,,
S0604,P043_03,P034_04,75,,
S0605,P043_04,P010_07,81,,
S0606,P043_05,P010_01,88,,
S0607,P043_06,P006_03,40,P043_02,19
S0608,P043_07,P003_03,52,,
S0609,P043_08,P022_06,64,,
S0610,P044_01,P001_02,87,,
S0611,P044_02,P031_06,54,,
S0612,P044_03,P007_03,52,,
S0613,P044_04,P048_07,48,,
S0614,P044_05,P003_01,87,,
S0615,P044_06,P038_03,52,,
S0616,P044_07,P008_04,71,,
S0617,P044_08,P038_07,47,,
S0618,P045_01,P044_08,67,,
S0619,P045_02,P027_02,80,,
S0620,P045_03,P039_06,63,,
S0621,P045_04,P024_07,48,,
S0622,P045_05,P034_05,66,,
S0623,P046_01,P025_04,45,,
S0624,P046_02,P042_05,72,,
S0625,P046_03,P031_03,47,,
S0626,P046_04,P046_02,64,,
S0627,P046_05,P005_02,73,,
S0628,P046_06,P022_07,54,,
S0629,P046_07,P004_05,84,,
S0630,P047_01,P047_06,65,,
S0631,P047_02,P046_02,88,,
S0632,P047_03,P031_03,59,,
S0633,P047_04,P041_05,84,,
S0634,P047_05,P024_04,46,,
S0635,P047_06,P034_04,55,,
S0636,P047_07,P009_06,99,,
S0637,P047_08,P029_01,92,,
S0638,P048_01,P017_04,76,,
S0639,P048_02,P011_03,61,,
S0640,P048_03,P017_01,85,,
S0641,P048_04,P009_01,65,,
S0642,P048_05,P036_03,56,,
S0643,P048_06,P027_06,59,,
S0644,P048_07,P031_05,78,,
S0645,P049_01,P007_04,61,,
S0646,P049_02,P028_02,52,,
S0647,P049_03,P041_05,80,,
S0648,P049_04,P005_02,93,,
S0649,P049_05,P006_06,83,,
S0650,P050_01,P028_07,89,,
S0651,P050_02,P047_03,41,P040_05,20
S0652,P050_03,P032_06,87,,
S0653,P050_04,P032_06,42,P040_06,35
S0654,P050_05,P037_03,98,,
S0655,P050_06,P040_01,53,,
S0656,P050_07,P038_03,93,,
S0657,P001_01,P036_01,90,,
S0658,P001_02,P049_05,76,,
S0659,P001_03,P039_02,88,,
S0660,P001_04,P001_02,80,,
S0661,P001_05,P048_04,44,,
S0662,P002_01,P044_06,81,,
S0663,P002_02,P005_02,100,,
S0664,P002_03,P007_05,85,,
S0665,P002_04,P029_08,48,,
S0666,P002_05,P006_01,93,,
S0667,P003_01,P022_01,80,,
S0668,P003_02,P006_05,91,,
S0669,P003_03,P027_06,75,,
S0670,P003_04,P047_06,68,,
S0671,P003_05,P009_06,71,,
S0672,P004_01,P036_05,71,,
S0673,P004_02,P011_07,97,,
S0674,P004_03,P044_06,96,,
S0675,P004_04,P033_05,100,,
S0676,P004_05,P024_01,91,,
S0677,P004_06,P033_05,59,,
S0678,P004_07,P028_06,84,,
S0679,P005_01,P042_03,74,,
S0680,P005_02,P033_08,69,,
S0681,P005_03,P022_08,55,,
S0682,P005_04,P015_06,57,,
S0683,P005_05,P047_01,55,,
S0684,P005_06,P006_07,87,,
S0685,P005_07,P044_02,56,,
S0686,P006_01,P003_05,85,,
S0687,P006_02,P044_07,68,,
S0688,P006_03,P014_04,81,,
S0689,P006_04,P025_06,40,P006_02,31
S0690,P006_05,P043_06,64,,
S0691,P006_06,P045_01,87,,
S0692,P006_07,P031_04,74,,
S0693,P006_08,P006_06,70,,
S0694,P007_01,P046_04,80,,
S0695,P007_02,P030_03,74,,
S0696,P007_03,P042_03,49,,
S0697,P007_04,P038_04,41,P007_01,33
S0698,P007_05,P027_02,91,,
S0699,P008_01,P020_03,100,,
S0700,P008_02,P007_03,77,,
S0701,P008_03,P016_01,44,,
S0702,P008_04,P004_06,75,,
S0703,P008_05,P027_07,82,,
S0704,P008_06,P040_04,90,,
S0705,P009_01,P028_05,53,,
S0706,P009_02,P013_04,90,,
S0707,P009_03,P048_03,100,,
S0708,P009_04,P041_05,93,,
S0709,P009_05,P042_03,66,,
S0710,P009_06,P028_01,59,,
S0711,P009_07,P030_03,66,,
S0712,P010_01,P038_05,46,,
S0713,P010_02,P039_03,46,,
S0714,P010_03,P047_03,66,,
S0715,P010_04,P030_02,60,,
S0716,P010_05,P019_03,90,,
S0717,P010_06,P006_02,51,,
S0718,P010_07,P022_04,68,,
S0719,P010_08,P041_02,80,,
S0720,P011_01,P027_08,65,,
S0721,P011_02,P031_06,56,,
S0722,P011_03,P044_02,49,,
S0723,P011_04,P047_03,69,,
S0724,P011_05,P012_01,71,,
S0725,P011_06,P003_05,98,,
S0726,P011_07,P016_05,51,,
S0727,P012_01,P023_04,99,,
S0728,P012_02,P043_04,62,,
S0729,P012_03,P041_03,54,,
S0730,P012_04,P029_01,67,,
S0731,P012_05,P039_06,53,,
S0732,P012_06,P037_03,86,,
S0733,P012_07,P022_08,94,,
S0734,P013_01,P029_04,57,,
S0735,P013_02,P032_04,100,,
S0736,P013_03,P032_02,75,,
S0737,P013_04,P037_02,48,,
S0738,P013_05,P047_08,92,,
S0739,P013_06,P009_04,45,,
S0740,P013_07,P035_02,55,,
S0741,P014_01,P011_01,83,,
S0742,P014_02,P012_01,89,,
S0743,P014_03,P008_01,49,,
S0744,P014_04,P022_02,86,,
S0745,P014_05,P024_06,88,,
S0746,P014_06,P022_02,83,,
S0747,P015_01,P007_04,43,P049_02,10
S0748,P015_02,P021_05,74,,
S0749,P015_03,P025_01,98,,
S0750,P015_04,P015_03,57,,
S0751,P015_05,P047_02,92,,
S0752,P015_06,P023_05,100,,
S0753,P016_01,P049_08,42,P043_01,14
S0754,P016_02,P049_08,83,,
S0755,P016_03,P017_05,73,,
S0756,P016_04,P020_04,71,,
S0757,P016_05,P043_03,63,,
S0758,P016_06,P030_05,92,,
S0759,P017_01,P011_01,78,,
S0760,P017_02,P023_04,77,,
S0761,P017_03,P013_02,58,,
S0762,P017_04,P032_04,84,,
S0763,P017_05,P013_04,45,,
